             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          28141390     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
    28139353_[1-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
    28139351_[2-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
    28139350_[2-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
    28139349_[2-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
    28139347_[2-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
    28139318_[5-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
    28139355_[1-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
    28139354_[1-9]     gpgpu multi_hf maneesha PD       0:00      1 (MaxMemoryPerAccount)
          28142779     gpgpu UCG_MLE.    tayj1  R      28:13      1 spartan-gpgpu004
          28142773     gpgpu UCED_MLE    tayj1  R      29:15      1 spartan-gpgpu004
          28105715     gpgpu GPUtest2 amoussal  R 1-12:03:23      1 spartan-gpgpu033
          28140341     gpgpu GPUtest2 amoussal  R    3:01:25      1 spartan-gpgpu006
          28130568     gpgpu ssd-rn50 vvelugur  R   10:03:51      1 spartan-gpgpu076
          28123087     gpgpu   APO-a5   jliang  R   20:47:02      1 spartan-gpgpu024
          28123080     gpgpu   APO-a4   jliang  R   21:19:54      1 spartan-gpgpu060
          28123078     gpgpu   APO-a3   jliang  R   21:22:11      1 spartan-gpgpu059
          28123072     gpgpu   APO-a2   jliang  R   21:22:58      1 spartan-gpgpu041
          28123047     gpgpu   APO-a1   jliang  R   21:25:00      1 spartan-gpgpu039
          28119378     gpgpu ELSA-7a9   jliang  R   22:47:21      1 spartan-gpgpu034
          28119370     gpgpu  EL-7a98   jliang  R   22:47:52      1 spartan-gpgpu031
          28119363     gpgpu  WT-7a98   jliang  R   22:48:28      1 spartan-gpgpu023
          28140315     gpgpu    SGMvs   sh8194  R    3:04:48      1 spartan-gpgpu006
          28111559     gpgpu  sa_ct_1 kcustodi  R 1-05:18:51      1 spartan-gpgpu049
          28111516     gpgpu  sa_ct_2 kcustodi  R 1-05:20:15      1 spartan-gpgpu011
          28094525     gpgpu  sa_ct_3 kcustodi  R 1-20:58:20      1 spartan-gpgpu062
          28094572     gpgpu    Q6F_2   sitong  R 1-20:52:19      1 spartan-gpgpu065
          28094571     gpgpu    Q6F_1   sitong  R 1-20:52:50      1 spartan-gpgpu064
          28115999     gpgpu guppy_ba jessieji  R 1-00:18:45      1 spartan-gpgpu052
          28126424     gpgpu HiPsaA.s edeplaze  R   17:27:44      1 spartan-gpgpu007
          28097789     gpgpu 150M_gpu tzahtila  R 1-18:25:11      5 spartan-gpgpu[040,058,067-069]
          28116081     gpgpu     dino sachiths  R 1-00:09:50      8 spartan-gpgpu[024-025,034,039,041,055,059,062]
          28111688     gpgpu 150M_gpu tzahtila  R 1-05:07:00      5 spartan-gpgpu[012,015,020-022]
          28119377     gpgpu     dino sachiths  R   22:46:16      6 spartan-gpgpu[048,050-054]
          28109948     gpgpu gen.slur sachiths  R 1-06:41:01      1 spartan-gpgpu060
          28141376     gpgpu metareg_     aore  R    1:39:05      1 spartan-gpgpu054
          28141303     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu027
          28141304     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu030
          28141305     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu035
          28141306     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu035
          28141307     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu035
          28141308     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu035
          28141309     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu003
          28141310     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu003
          28141311     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu037
          28141312     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu037
          28141313     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu053
          28141314     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu011
          28141315     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu011
          28141316     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu011
          28141317     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu038
          28141318     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu055
          28141319     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu014
          28141320     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu014
          28141321     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu014
          28141322     gpgpu standard     aore  R    2:01:48      1 spartan-gpgpu014
          28137884     gpgpu sys/dash     aore  R    4:47:14      1 spartan-gpgpu050
          28137818     gpgpu mldg_B1.     aore  R    4:52:48      1 spartan-gpgpu048
          28137820     gpgpu mldg_B5.     aore  R    4:52:48      1 spartan-gpgpu049
          28137822     gpgpu mldg_B10     aore  R    4:52:48      1 spartan-gpgpu032
          28137813     gpgpu mldg_B0.     aore  R    4:53:15      1 spartan-gpgpu027
          28137814     gpgpu mldg_B0.     aore  R    4:53:15      1 spartan-gpgpu027
          28137815     gpgpu mldg_B0.     aore  R    4:53:15      1 spartan-gpgpu027
          28137816     gpgpu mldg_B0.     aore  R    4:53:15      1 spartan-gpgpu029
          28137817     gpgpu mldg_B1.     aore  R    4:53:15      1 spartan-gpgpu029
          28093693     gpgpu wdgrl8h.  zuhuang  R 1-22:16:34      1 spartan-gpgpu032
          28093690     gpgpu wdgrl7ha  zuhuang  R 1-22:17:08      1 spartan-gpgpu032
          28093687     gpgpu wdgrl2h.  zuhuang  R 1-22:18:04      1 spartan-gpgpu031
          28093685     gpgpu wdgrlv2_  zuhuang  R 1-22:18:35      1 spartan-gpgpu031
          28093679     gpgpu wdgrlv8_  zuhuang  R 1-22:19:35      1 spartan-gpgpu030
